IntDate,HousehldID,VillageID,HhMmbrs,OwnDogs,DgsOwnd,AdltDgs,Puppies,DogDied,NumDd,DogBite
1/31/17,49-13-3,49,3,0,0,0,0,0,0,0
1/31/17,67-68-7,67,6,0,0,0,0,0,0,0
1/31/17,67-64-7,67,3,1,2,2,0,0,0,0
1/31/17,2-240-2,2,6,1,2,2,0,0,0,0
1/31/17,13-235-4,13,3,0,0,0,0,0,0,0
1/31/17,67-5-14,67,5,0,0,0,0,0,0,0
1/31/17,13-3-6,13,5,0,0,0,0,0,0,0
1/31/17,2-89-7,2,5,0,0,0,0,0,0,0
1/31/17,13-4-11,13,4,0,0,0,0,0,0,0
1/31/17,67-50-4,67,4,0,0,0,0,0,0,0
1/31/17,13-3-5,13,4,0,0,0,0,0,0,0
1/31/17,67-68-6,67,5,0,0,0,0,0,0,0
1/31/17,13-4-8,13,6,0,0,0,0,0,0,0
1/31/17,2-29-3,2,7,0,0,0,0,0,0,0
1/31/17,67-5-15,67,3,0,0,0,0,0,0,0
1/31/17,2-139-3,2,1,0,0,0,0,0,0,0
1/31/17,2-95-10,2,3,0,0,0,0,0,0,0
1/31/17,2-95-13,2,5,0,0,0,0,0,0,0
1/31/17,49-278-1,49,5,0,0,0,0,0,0,0
1/31/17,2-95-12,2,7,0,0,0,0,0,0,0
1/31/17,13-24-4,13,1,0,0,0,0,0,0,0
1/31/17,13-24-5,13,1,0,0,0,0,0,0,0
1/31/17,2-95-9,2,2,1,1,1,0,0,0,0
1/31/17,68-55-5,68,8,0,0,0,0,0,0,0
1/31/17,68-76-3,68,6,1,1,1,0,0,0,0
1/31/17,68-16-11,68,7,1,1,1,0,0,0,0
1/31/17,68-70-5,68,3,1,2,2,0,0,0,0
2/1/17,2/23/20,2,6,1,1,1,0,0,0,0
2/1/17,67-48-2,67,7,1,1,1,0,0,0,0
2/1/17,67-73-3,67,10,0,0,0,0,1,0,0
2/1/17,49-27-6,49,4,0,0,0,0,0,0,0
2/1/17,13-13-5,13,4,1,2,2,0,0,0,0
2/1/17,49-34-2,49,3,0,0,0,0,0,0,0
2/1/17,2-221-2,2,5,0,0,0,0,0,0,0
2/1/17,2-117-8,2,5,0,0,0,0,0,0,0
2/1/17,13-14-6,13,3,0,0,0,0,0,0,0
2/1/17,67-18-3,67,3,1,1,1,0,0,0,0
2/1/17,13-242-4,13,1,0,0,0,0,0,0,0
2/1/17,49-32-7,49,6,1,1,1,0,0,0,0
2/1/17,67-17-7,67,2,0,0,0,0,0,0,0
2/1/17,13-14-7,13,5,1,1,1,0,0,0,0
2/1/17,67-56-2,67,7,1,2,2,0,0,0,0
2/1/17,13-14-8,13,5,0,0,0,0,0,0,0
2/1/17,2-163-5,2,3,1,1,1,0,0,0,0
2/1/17,13-302-2,13,9,0,0,0,0,0,0,0
2/1/17,2/15/03,2,5,0,0,0,0,0,0,0
2/1/17,2/15/04,2,5,0,0,0,0,0,0,0
2/1/17,2-37-4,2,1,0,0,0,0,0,0,0
2/1/17,49-31-14,49,2,0,0,0,0,0,0,0
2/1/17,13-318-2,13,18,1,2,2,0,0,0,0
2/1/17,67-15-3,67,4,1,3,3,0,0,0,0
2/1/17,13-329-2,13,9,0,0,0,0,0,0,0
2/1/17,67-20-4,67,3,0,0,0,0,0,0,0
2/1/17,2-203-2,2,6,1,2,0,2,0,0,0
2/1/17,67-20-5,67,6,1,2,2,0,0,0,0
2/1/17,13-18-3,13,2,0,0,0,0,0,0,0
2/1/17,2-256-1,2,2,1,1,0,1,0,0,0
2/1/17,49-149-2,49,7,1,1,1,0,1,NA,0
2/1/17,13-16-4,13,9,0,0,0,0,0,0,0
2/1/17,13-15-3,13,4,0,0,0,0,0,0,0
2/1/17,49-211-3,49,11,0,0,0,0,0,0,0
2/1/17,2-216-2,2,3,1,1,1,0,0,0,0
2/1/17,2-42-4,2,2,0,0,0,0,0,0,0
2/1/17,2-118-3,2,2,0,0,0,0,0,0,0
2/1/17,13-208-2,13,9,1,1,1,0,0,0,0
2/1/17,2-210-2,2,4,0,0,0,0,0,0,0
2/1/17,49-309-2,49,5,1,4,1,3,0,0,0
2/1/17,13-184-2,13,5,1,3,3,0,0,0,0
2/1/17,2-222-2,2,7,0,0,0,0,0,0,0
2/1/17,49-135-5,49,2,0,0,0,0,0,0,0
2/1/17,2/23/19,2,5,0,0,0,0,0,0,0
2/1/17,2-194-5,2,1,0,0,0,0,0,0,0
2/1/17,68-37-2,68,1,1,1,0,1,0,0,0
2/1/17,68-333-6,68,5,1,1,1,0,0,0,0
2/1/17,68-333-4,68,4,1,1,1,0,0,0,0
2/1/17,68-61-2,68,2,1,2,2,0,0,0,0
2/1/17,68-57-4,68,6,0,0,0,0,0,0,0
2/1/17,68-41-3,68,1,1,1,1,0,0,0,0
2/1/17,68-42-9,68,4,0,0,0,0,0,0,0
2/2/17,2-204-2,2,2,0,0,0,0,0,0,0
2/2/17,67-59-3,67,3,0,0,0,0,0,0,0
2/22/17,35-64-3,35,5,1,1,1,0,0,0,0
2/22/17,53-65-5,53,5,1,1,1,0,0,0,0
2/22/17,55-302-5,55,4,0,0,0,0,0,0,0
2/22/17,10-243-2,10,7,0,0,0,0,0,0,0
2/22/17,35-32-4,35,5,0,0,0,0,0,0,0
2/22/17,53-123-3,53,7,1,2,1,1,0,0,0
2/22/17,35-78-2,35,5,1,1,1,0,0,0,0
2/22/17,55-99-11,55,3,0,0,0,0,0,0,0
2/22/17,10-269-2,10,7,1,1,1,0,0,0,0
2/22/17,53-68-16,53,9,0,0,0,0,0,0,0
2/22/17,10-281-10,10,5,0,0,0,0,0,0,0
2/22/17,55-101-4,55,6,1,2,0,2,0,0,0
2/22/17,53-68-15,53,1,0,0,0,0,0,0,0
2/22/17,35-68-3,35,5,1,1,1,0,0,0,0
2/22/17,55-247-4,55,2,0,0,0,0,0,0,0
2/22/17,53-104-5,53,7,0,0,0,0,0,0,0
2/22/17,35-90-2,35,5,0,0,0,0,0,0,0
2/22/17,53-104-6,53,6,0,0,0,0,0,0,0
2/22/17,35-74-2,35,6,1,1,1,0,0,0,0
2/22/17,55-99-10,55,4,0,0,0,0,0,0,0
2/22/17,53-67-5,53,4,1,1,1,0,0,0,0
2/22/17,28-328-2,28,7,1,2,2,0,0,0,0
2/22/17,35-72-3,35,10,1,2,1,1,0,0,0
2/22/17,10-286-1,10,5,1,1,1,0,0,0,0
2/22/17,55-302-5,55,4,0,0,0,0,0,0,0
2/22/17,35-83-2,35,4,1,1,1,0,0,0,0
2/22/17,35-25-9,35,3,0,0,0,0,0,0,0
2/22/17,53-119-3,53,6,1,2,2,0,0,0,0
2/22/17,55-99-11,55,5,0,0,0,0,0,0,0
2/22/17,35-24-8,35,6,0,0,0,0,0,0,0
2/22/17,53-61-7,53,5,0,0,0,0,0,0,0
2/22/17,35-84-2,35,7,1,1,1,0,0,0,0
2/22/17,55-247-4,55,2,0,0,0,0,0,0,0
2/22/17,53-128-3,53,5,0,0,0,0,0,0,0
2/22/17,35-26-3,35,2,0,0,0,0,0,0,0
2/22/17,55-324-1,55,4,0,0,0,0,0,0,0
2/22/17,35-27-13,35,8,0,0,0,0,0,0,0
2/22/17,55-333-2,55,8,1,2,1,1,0,0,0
2/22/17,35-26-4,35,6,0,0,0,0,0,0,0
2/22/17,10-318-2,10,6,0,0,0,0,0,0,0
2/23/17,28-30-11,28,5,0,0,0,0,0,0,0
2/23/17,55-280-3,55,5,1,1,1,0,0,0,0
2/23/17,10-167-4,10,2,0,0,0,0,0,0,0
2/23/17,55-179-5,55,7,1,5,3,2,0,0,0
2/23/17,55-179-6,55,2,0,0,0,0,0,0,0
2/23/17,35-97-1,35,4,1,1,1,0,0,0,0
2/23/17,55-30-2,55,1,0,0,0,0,0,0,0
2/23/17,35-94-2,35,5,0,0,0,0,0,0,0
2/23/17,10/17/05,10,3,1,1,1,0,0,0,0
2/23/17,35-52-8,35,1,0,0,0,0,0,0,0
2/23/17,55-27-3,55,1,0,0,0,0,0,0,0
2/23/17,35-61-1,35,5,0,0,0,0,0,0,0
2/23/17,53-96-8,53,9,0,0,0,0,0,0,0
2/23/17,10-324-1,10,5,1,1,1,0,0,0,0
2/23/17,10-331-3,10,4,0,0,0,0,0,0,0
2/23/17,55-25-3,55,1,0,0,0,0,0,0,0
2/23/17,53-86-6,53,4,1,1,1,0,0,0,0
2/23/17,35-70-6,35,3,0,0,0,0,0,0,0
2/23/17,10-331-4,10,5,1,3,1,2,0,0,0
2/23/17,55-17-5,55,7,1,1,1,0,0,0,0
2/16/17,10/24/02,10,2,0,0,0,0,0,0,0
2/23/17,10-279-3,10,4,0,0,0,0,0,0,0
2/17/17,10/29/03,10,5,1,1,1,0,0,0,0
2/15/17,10-326-2,10,8,1,1,1,0,0,0,0
2/16/17,10-33-11,10,2,0,0,0,0,0,0,0
2/17/17,10-39-7,10,5,1,2,2,0,0,0,0
2/14/17,10/4/04,10,4,1,1,1,0,0,0,0
2/10/17,10-69-10,10,8,0,0,0,0,0,0,0
2/8/17,13-110-14,13,8,1,1,1,0,0,0,0
2/14/17,13-112-13,13,4,1,1,1,0,0,0,0
2/15/17,13-124-10,13,4,1,1,1,0,0,0,0
2/7/17,13-138-4,13,2,0,0,0,0,0,0,0
4/10/17,49-112-5,49,5,0,0,0,0,0,0,0
4/10/17,49-44-7,49,1,0,0,0,0,0,0,0
4/10/17,49-280-1,49,6,0,0,0,0,0,0,0
4/10/17,49-246-2,49,4,1,1,1,0,0,0,0
4/10/17,49-246-3,49,2,0,0,0,0,0,0,0
4/11/17,49-283-1,49,6,1,1,1,0,0,0,0
4/11/17,49-103-4,49,3,0,0,0,0,0,0,0
4/11/17,49-163-9,49,8,1,2,2,0,0,0,0
4/11/17,13-158-11,13,6,1,1,1,0,0,0,0
4/11/17,49-57-9,49,4,0,0,0,0,0,0,0
4/11/17,49-97-5,49,4,1,2,2,0,0,0,0
4/12/17,49-245-2,49,9,1,1,1,0,0,0,0
4/12/17,49-100-8,49,9,1,4,4,0,0,0,0
4/12/17,49-162-4,49,6,1,1,1,0,0,0,0
4/12/17,49-143-6,49,4,1,1,1,0,0,0,0
4/12/17,49-51-11,49,1,0,0,0,0,0,0,0
4/13/17,49-60-6,49,1,0,0,0,0,0,0,0
4/13/17,10-146-5,10,1,0,0,0,0,0,0,0
4/13/17,49-228-2,49,5,0,0,0,0,0,0,0
4/13/17,49-243-2,49,7,1,2,1,1,0,0,0
4/13/17,49-175-8,49,8,0,0,0,0,0,0,0
4/18/17,49-147-9,49,1,0,0,0,0,0,0,0
2/2/17,13-175-3,13,4,0,0,0,0,0,0,0
2/2/17,49-223-2,49,6,0,0,0,0,0,0,0
2/2/17,67-27-10,67,1,0,0,0,0,0,0,0
2/2/17,13-59-8,13,4,0,0,0,0,0,0,0
2/2/17,67-27-9,67,1,0,0,0,0,0,0,0
2/2/17,67-27-11,67,3,0,0,0,0,0,0,0
2/2/17,49-206-2,49,5,0,0,0,0,0,0,0
2/2/17,67-29-6,67,1,0,0,0,0,0,0,0
2/2/17,13-187-4,13,7,1,2,2,0,0,0,0
2/2/17,2-138-2,2,6,1,2,2,0,0,0,0
2/2/17,2-41-5,2,4,0,0,0,0,0,0,0
2/2/17,67-27-8,67,6,0,0,0,0,0,0,0
2/2/17,13-209-5,13,6,0,0,0,0,0,0,0
2/2/17,67-24-4,67,4,1,2,0,2,0,0,0
2/2/17,49-126-8,49,9,0,0,0,0,0,0,0
2/2/17,2-120-4,2,5,1,1,1,0,0,0,0
2/2/17,13-204-4,13,3,0,0,0,0,0,0,0
2/2/17,49-125-7,49,3,0,0,0,0,0,0,0
2/2/17,13-204-3,13,2,0,0,0,0,0,0,0
2/2/17,2-130-4,2,9,1,1,1,0,0,0,0
2/2/17,49-173-9,49,5,0,0,0,0,0,0,0
2/2/17,2-37-5,2,2,0,0,0,0,0,0,0
2/2/17,13-49-6,13,3,1,5,1,4,0,0,0
2/2/17,67-25-12,67,4,0,0,0,0,0,0,0
2/2/17,49-122-2,49,2,1,2,1,1,0,0,0
2/2/17,49-269-2,49,3,0,0,0,0,0,0,0
2/2/17,2-119-2,2,6,0,0,0,0,0,0,0
2/2/17,13-48-4,13,3,0,0,0,0,0,0,0
2/2/17,67-25-11,67,1,0,0,0,0,0,0,0
2/2/17,67-83-2,67,6,1,1,1,0,0,0,0
2/2/17,67-23-2,67,4,1,1,0,1,0,0,0
2/2/17,67-51-2,67,5,0,0,0,0,0,0,0
2/2/17,2-128-2,2,6,1,1,1,0,0,0,0
2/2/17,2-245-2,2,10,1,2,2,0,0,0,0
2/2/17,67-71-6,67,4,0,0,0,0,0,0,0
2/2/17,67-38-9,67,3,1,2,2,0,0,0,0
2/2/17,13-209-4,13,3,0,0,0,0,0,0,0
2/2/17,2-161-2,2,4,1,2,2,0,0,0,0
2/2/17,49-21-3,49,2,0,0,0,0,0,0,0
2/2/17,2-99-6,2,4,1,1,1,0,0,0,0
2/2/17,67-32-7,67,4,1,1,1,0,0,0,0
2/2/17,67-32-7,67,1,0,0,0,0,0,0,0
2/2/17,2-135-4,2,13,1,5,3,2,0,0,0
2/2/17,13-164-2,13,2,0,0,0,0,0,0,0
2/2/17,13-47-2,13,2,0,0,0,0,0,0,0
2/2/17,2-243-2,2,9,1,1,1,0,0,0,0
2/2/17,2-182-4,2,8,1,1,0,1,0,0,0
2/2/17,67-34-7,67,6,0,0,0,0,0,0,0
2/2/17,67-54-4,67,7,1,4,4,0,0,0,0
2/2/17,67-44-2,67,5,0,0,0,0,0,0,0
2/2/17,67-58-3,67,12,1,2,2,0,0,0,0
2/3/17,13-27-15,13,5,0,0,0,0,0,0,0
2/3/17,13-27-22,13,4,0,0,0,0,0,0,0
2/3/17,2-110-3,2,7,1,2,2,0,0,0,0
2/3/17,13-210-1,13,3,0,0,0,0,0,0,0
2/3/17,68-19-6,68,6,1,4,4,0,0,0,0
2/3/17,13-27-21,13,7,0,0,0,0,0,0,0
2/3/17,2-104-8,2,5,1,1,0,1,0,0,0
2/3/17,49-203-4,49,8,1,4,4,0,0,0,0
2/3/17,13-27-19,13,1,0,0,0,0,0,0,0
2/3/17,68-19-5,68,1,0,0,0,0,0,0,0
2/3/17,2-104-7,2,2,0,0,0,0,0,0,0
2/3/17,13-31-5,13,7,0,0,0,0,0,0,0
2/3/17,2-104-9,2,4,0,0,0,0,0,0,0
2/3/17,2-149-2,2,2,0,0,0,0,0,0,0
2/3/17,13-51-7,13,8,1,2,2,0,0,0,0
2/3/17,49-107-5,49,6,1,4,1,3,0,0,0
2/3/17,13-307-2,13,4,0,0,0,0,0,0,0
2/3/17,13-33-5,13,5,0,0,0,0,0,0,0
2/3/17,2-94-2,2,1,0,0,0,0,0,0,0
2/3/17,49-236-3,49,2,0,0,0,0,0,0,0
2/3/17,13-215-5,13,5,1,1,1,0,0,0,0
2/3/17,2-80-9,2,2,0,0,0,0,0,0,0
2/3/17,13-215-4,13,3,0,0,0,0,0,0,0
2/3/17,49-50-13,49,4,0,0,0,0,0,0,0
2/3/17,13-21-11,13,2,0,0,0,0,0,0,0
2/3/17,2-127-2,2,3,1,7,2,5,0,0,0
2/3/17,13-197-6,13,4,0,0,0,0,0,0,0
2/3/17,68-45-9,68,5,1,1,1,0,0,0,0
2/3/17,2-91-7,2,1,0,0,0,0,0,0,0
2/3/17,49-252-3,49,4,1,1,1,0,0,0,0
2/3/17,2-91-8,2,1,0,0,0,0,0,0,0
2/3/17,68-45-8,68,9,1,1,1,0,0,0,0
2/3/17,49-202-4,49,6,0,0,0,0,0,0,0
2/3/17,2-182-3,2,4,1,2,1,1,0,0,0
2/3/17,49-270-2,49,2,1,2,2,0,0,0,0
2/3/17,13-26-10,13,4,0,0,0,0,0,0,0
2/3/17,13-21-13,13,3,0,0,0,0,0,0,0
2/3/17,13-21-14,13,3,0,0,0,0,0,0,0
2/3/17,2-80-8,2,3,0,0,0,0,0,0,0
2/3/17,2-90-5,2,3,0,0,0,0,0,0,0
2/6/17,2-72-15,2,2,0,0,0,0,0,0,0
2/6/17,13-180-4,13,6,0,0,0,0,0,0,0
2/6/17,55-177-4,55,4,1,2,2,0,0,0,0
2/6/17,2-189-2,2,5,0,0,0,0,0,0,0
2/6/17,13-83-5,13,6,1,1,1,0,0,0,0
2/6/17,55-2-4,55,3,1,1,1,0,0,0,0
2/6/17,55-203-2,55,6,0,0,0,0,0,0,0
2/6/17,68-66-4,68,4,0,0,0,0,0,0,0
2/6/17,13-81-2,13,4,0,0,0,0,0,0,0
2/6/17,55-2-5,55,6,0,0,0,0,0,0,0
2/6/17,55-199-2,55,6,1,1,0,1,0,0,0
2/6/17,55-199-2,55,1,0,0,0,0,0,0,0
2/6/17,2-157-2,2,2,0,0,0,0,0,0,0
2/6/17,13-156-5,13,6,1,1,1,0,0,0,0
2/6/17,55-171-3,55,6,0,0,0,0,0,0,0
2/6/17,13-156-4,13,2,1,1,1,0,0,0,0
2/6/17,2-106-9,2,7,1,2,2,0,0,0,0
2/6/17,68-50-6,68,6,0,0,0,0,0,0,0
2/6/17,55-260-5,55,7,1,1,1,0,0,0,0
2/6/17,55-260-4,55,2,0,0,0,0,0,0,0
2/6/17,2-106-7,2,2,0,0,0,0,0,0,0
2/6/17,13-330-2,13,6,0,0,0,0,0,0,0
2/6/17,13-86-4,13,6,1,2,2,0,0,0,0
2/6/17,67-80-2,67,5,1,1,1,0,0,0,0
2/6/17,2-75-10,2,8,0,0,0,0,0,0,0
2/6/17,55-254-3,55,1,0,0,0,0,0,0,0
2/6/17,49-43-5,49,3,0,0,0,0,0,0,0
2/6/17,13-92-4,13,4,1,2,2,0,0,0,0
2/6/17,55-317-3,55,7,0,0,0,0,0,0,0
2/6/17,2-92-4,2,6,1,1,1,0,0,0,0
2/6/17,68-31-5,68,2,1,1,1,0,0,0,0
2/6/17,13-91-3,13,2,1,3,3,0,0,0,0
2/6/17,13-96-4,13,4,0,0,0,0,0,0,0
2/6/17,49-277-2,49,6,1,1,1,0,0,0,0
2/6/17,68-29-7,68,2,1,1,1,0,0,0,0
2/6/17,49-235-2,49,9,0,0,0,0,0,0,0
2/6/17,55-304-2,55,7,0,0,0,0,0,0,0
2/6/17,13-136-3,13,9,1,2,2,0,0,0,0
2/6/17,13-136-1,13,1,0,0,0,0,0,0,0
2/6/17,68-88-1,68,5,1,1,1,0,0,0,0
2/6/17,55-141-5,55,8,1,7,2,5,0,0,0
2/6/17,49-44-8,49,5,0,0,0,0,0,0,0
2/6/17,2-158-5,2,7,1,2,2,0,0,0,0
2/6/17,55-141-4,55,1,0,0,0,0,0,0,0
2/6/17,68-72-2,68,5,1,1,1,0,0,0,0
2/6/17,2-233-2,2,9,0,0,0,0,0,0,0
2/6/17,55-295-5,55,5,1,1,1,0,0,0,0
2/6/17,13-243-4,13,4,1,1,1,0,0,0,0
2/6/17,55-295-4,55,10,0,0,0,0,0,0,0
2/6/17,49-281-1,49,9,1,1,1,0,0,0,0
2/6/17,2-185-4,2,5,0,0,0,0,0,0,0
2/6/17,2-92-5,2,6,0,0,0,0,0,0,0
2/6/17,55-254-3,55,1,0,0,0,0,0,0,0
2/6/17,49-45-10,49,3,0,0,0,0,0,0,0
2/6/17,55-317-3,55,7,0,0,0,0,0,0,0
2/6/17,2-215-2,2,9,0,0,0,0,0,0,0
2/6/17,55-304-2,55,7,0,0,0,0,0,0,0
2/6/17,49-216-4,49,8,1,1,1,0,0,0,0
2/6/17,2-181-3,2,8,1,1,1,0,0,0,0
2/6/17,55-141-5,55,8,1,7,2,5,0,0,0
2/6/17,2-185-3,2,3,0,0,0,0,0,0,0
2/6/17,55-290-3,55,4,0,0,0,0,0,0,0
2/6/17,49-205-6,49,4,1,1,1,0,0,0,0
2/6/17,49-205-7,49,5,0,0,0,0,0,0,0
2/7/17,55-253-6,55,6,0,0,0,0,0,0,0
2/7/17,55-142-4,55,6,1,1,1,0,0,0,0
2/7/17,49-233-3,49,5,0,0,0,0,0,0,0
2/7/17,2-121-2,2,2,1,3,3,0,0,0,0
2/7/17,55-305-2,55,6,0,0,0,0,0,0,0
2/7/17,13-300-2,13,8,0,0,0,0,0,0,0
2/7/17,55-143-6,55,3,0,0,0,0,0,0,0
2/7/17,2-209-6,2,6,0,0,0,0,0,0,0
2/7/17,49-144-5,49,4,1,2,2,0,0,0,0
2/7/17,13-216-3,13,3,0,0,0,0,0,0,0
2/7/17,55-143-5,55,3,0,0,0,0,0,0,0
2/7/17,2/11/02,2,2,0,0,0,0,0,0,0
2/7/17,55-230-2,55,4,0,0,0,0,0,0,0
2/7/17,55-264-6,55,4,0,0,0,0,0,0,0
2/7/17,13-278-2,13,6,1,1,1,0,0,0,0
2/7/17,55-209-3,55,7,1,1,1,0,0,0,0
2/7/17,10-159-2,10,6,1,1,1,0,1,NA,0
2/7/17,2-201-3,2,6,0,0,0,0,0,0,0
2/7/17,10-327-2,10,1,0,0,0,0,0,0,0
2/7/17,49-188-3,49,9,1,2,1,1,0,0,0
2/7/17,2-179-2,2,3,0,0,0,0,0,0,0
2/7/17,55-146-5,55,4,1,1,1,0,0,0,0
2/7/17,13-158-10,13,6,0,0,0,0,0,0,0
2/7/17,13-158-1,13,2,0,0,0,0,0,0,0
2/7/17,10-184-3,10,4,1,1,1,0,0,0,0
2/7/17,2-96-12,2,5,1,3,3,0,0,0,0
2/7/17,2-197-3,2,8,0,0,0,0,0,0,0
2/7/17,55-163-4,55,11,0,0,0,0,0,0,0
2/7/17,10-90-2,10,2,1,1,1,0,0,0,0
2/7/17,13-139-5,13,6,1,2,2,0,0,0,0
2/7/17,55-259-2,55,4,1,1,1,0,0,0,0
2/7/17,13-132-8,13,4,0,0,0,0,0,0,0
2/7/17,2-96-11,2,4,0,0,0,0,0,0,0
2/7/17,10-94-4,10,1,1,2,2,0,0,0,0
2/7/17,55-147-2,55,3,0,0,0,0,0,0,0
2/7/17,13-312-2,13,8,0,0,0,0,0,0,0
2/7/17,2/13/03,2,2,1,1,1,0,0,0,0
2/7/17,55-287-3,55,11,1,3,1,2,0,0,0
2/7/17,2/13/03,2,2,1,1,1,0,0,0,0
2/7/17,13-191-3,13,5,0,0,0,0,0,0,0
2/7/17,10-94-5,10,8,1,2,2,0,0,0,0
2/7/17,2-223-2,2,9,1,1,1,0,0,0,0
2/7/17,13-188-4,13,6,0,0,0,0,0,0,0
2/7/17,2-223-2,2,9,1,1,1,0,0,0,0
2/7/17,49-150-4,49,4,0,0,0,0,1,1,0
2/7/17,2-200-3,2,8,0,0,0,0,0,0,0
2/7/17,49-103-3,49,5,1,1,1,0,0,0,0
2/7/17,2-156-7,2,7,0,0,0,0,0,0,0
2/7/17,55-158-8,55,4,0,0,0,0,0,0,0
2/7/17,55-267-3,55,8,0,0,0,0,0,0,0
2/8/17,2-58-7,2,7,1,1,1,0,0,0,0
2/8/17,13-155-4,13,5,1,1,1,0,0,0,0
2/8/17,55-148-11,55,6,0,0,0,0,0,0,0
2/8/17,55-148-14,55,3,0,0,0,0,0,0,0
2/8/17,13-221-3,13,3,0,0,0,0,0,0,0
2/8/17,2-154-4,2,4,1,1,1,0,1,NA,0
2/8/17,55-154-5,55,2,0,0,0,0,0,0,0
2/8/17,2-154-5,2,4,0,0,0,0,0,0,0
2/8/17,13-74-5,13,7,0,0,0,0,0,0,0
2/8/17,13-74-4,13,1,0,0,0,0,0,0,0
2/8/17,10-128-6,10,3,1,1,1,0,0,0,0
2/8/17,2-107-6,2,3,1,3,3,0,0,0,0
2/8/17,2-107-7,2,4,0,0,0,0,0,0,0
2/8/17,55-138-8,55,1,0,0,0,0,0,0,0
2/8/17,10-128-6,10,8,1,3,3,0,0,0,0
2/8/17,2-107-8,2,4,0,0,0,0,0,0,0
2/8/17,55-138-10,55,4,1,1,1,0,0,0,0
2/8/17,2-129-2,2,4,1,2,2,0,0,0,0
2/8/17,55-122-4,55,5,1,1,1,0,0,0,0
2/8/17,10-160-2,10,9,1,1,1,0,0,0,0
2/8/17,13-142-3,13,2,0,0,0,0,0,0,0
2/8/17,2-65-7,2,4,0,0,0,0,0,0,0
2/8/17,55-121-7,55,3,0,0,0,0,0,0,0
2/8/17,10-316-2,10,6,1,2,2,0,0,0,0
2/8/17,13-178-3,13,1,0,0,0,0,0,0,0
2/8/17,13-77-12,13,2,0,0,0,0,0,0,0
